Word,Width
active,114.552001953125
in,38.20318603515625
church,137.68792724609375
affairs.,132.78228759765625
Both,96.89752197265625
father,118.1522216796875
and,72.85443115234375
mother,144.840087890625
were,96.8018798828125
considerably,248.68310546875
above,115.46875
the,63.974365234375
average,150.93121337890625
in,38.2032470703125
intelligence.,242.00701904296875
Unfortunately,278.9661865234375
for,56.870361328125
"me,",74.19842529296875
I,18.6719970703125
was,71.94244384765625
the,63.9744873046875
only,83.50567626953125
"child,",109.7041015625
which,118.1568603515625
perhaps,157.21917724609375
engendered,236.26068115234375
the,63.974365234375
selﬁshness,206.93292236328125
which,118.15692138671875
played,129.6722412109375
such,90.6097412109375
an,47.08319091796875
important,196.37750244140625
part,79.95355224609375
in,38.20318603515625
bringing,166.09429931640625
on,49.771240234375
my,60.42724609375
alcoholism.,222.5283203125
From,111.9696044921875
childhood,197.241455078125
through,157.26708984375
high,87.05767822265625
school,125.25628662109375
I,18.6719970703125
was,71.9423828125
more,103.9537353515625
or,41.755126953125
less,71.02557373046875
forced,127.03192138671875
to,39.11517333984375
go,47.08319091796875
to,39.11517333984375
"church,",149.68310546875
Sunday,145.70416259765625
School,133.2720947265625
and,72.8543701171875
eve,67.4783935546875
-,15.9840087890625
ning,87.05764770507812
"service,",148.71832275390625
Monday,162.59991455078125
night,102.1727294921875
Christian,182.121826171875
Endeavor,192.78271484375
and,72.8543701171875
sometimes,211.795166015625
to,39.15838623046875
Wednesday,226.87200927734375
evening,154.79046630859375
prayer,127.199951171875
meeting.,173.98095703125
This,86.193603515625
had,72.8543701171875
the,63.974365234375
effect,112.82391357421875
of,39.11517333984375
making,144.79193115234375
me,62.2032470703125
resolve,139.41156005859375
that,77.3138427734375
when,107.5057373046875
I,18.6719970703125
was,71.94241333007812
free,79.04156494140625
from,95.98553466796875
parental,162.54229736328125
"domination,",237.69635009765625
I,18.6719970703125
would,120.8450927734375
never,111.005126953125
again,103.9007568359375
darken,136.77593994140625
the,63.974365234375
doors,109.2767333984375
of,39.11517333984375
a,21.31201171875
church.,149.6834716796875
This,86.193603515625
resolution,198.1011962890625
I,18.6719970703125
kept,87.05758666992188
steadfastly,206.0638427734375
for,56.870361328125
the,63.974365234375
next,83.50555419921875
forty,93.29290771484375
"years,",113.20831298828125
except,127.8961181640625
when,107.5057373046875
circumstances,279.7822265625
made,109.28155517578125
it,27.54718017578125
seem,103.04156494140625
unwise,137.688232421875
to,39.11529541015625
absent,128.8082275390625
myself.,140.803466796875
After,102.17279052734375
high,87.05755615234375
school,125.25592041015625
came,104.81756591796875
four,82.64154052734375
years,101.2130126953125
in,38.20330810546875
one,72.8543701171875
of,39.1153564453125
the,63.9744873046875
best,81.7296142578125
colleges,157.1663818359375
in,38.20318603515625
the,63.974365234375
country,151.027099609375
where,122.57275390625
drinking,166.09466552734375
seemed,151.8961181640625
to,39.115234375
be,48.8592529296875
a,21.31201171875
major,118.44482421875
extra-curricular,320.7601318359375
activity.,156.441650390625
Almost,144.31207275390625
everyone,186.1104736328125
seemed,151.89593505859375
to,39.11517333984375
do,49.77117919921875
it.,39.5423583984375
I,18.6719970703125
did,63.974365234375
it,27.54718017578125
more,103.95355224609375
and,72.8544921875
"more,",115.94891357421875
and,72.8543701171875
had,72.8546142578125
lots,69.297607421875
of,39.115203857421875
fun,66.66238403320312
without,151.0750732421875
much,111.96954345703125
"grief,",103.46392822265625
either,117.24005126953125
physical,158.07867431640625
or,41.75537109375
ﬁnancial.,178.090087890625
I,18.6719970703125
seemed,151.89593505859375
to,39.11517333984375
be,48.85919189453125
able,82.59356689453125
to,39.11517333984375
snap,90.60955810546875
back,91.4737548828125
the,63.97442626953125
next,83.5057373046875
morning,167.9234619140625
better,119.92803955078125
than,87.96954345703125
most,95.985595703125
of,39.11517333984375
my,60.42718505859375
fellow,119.927978515625
"drinkers,",175.40191650390625
who,82.646484375
were,96.8018798828125
cursed,131.447998046875
(or,57.734375
perhaps,157.2191162109375
blessed),161.63031005859375
with,86.19366455078125
a,21.31201171875
great,100.34906005859375
deal,82.5938720703125
of,39.1153564453125
morn-,122.6209716796875
ing-after,169.64154052734375
nausea.,146.9951171875
Never,122.57275390625
once,94.16156005859375
in,38.2032470703125
my,60.42718505859375
life,63.0577392578125
have,91.4737548828125
I,18.6719970703125
had,72.8546142578125
a,21.31201171875
"headache,",199.40155029296875
which,118.15673828125
fact,72.84954833984375
leads,100.3487548828125
me,62.2032470703125
to,39.115234375
believe,141.18756103515625
that,77.3138427734375
I,18.6719970703125
was,71.9423828125
an,47.08319091796875
alcoholic,174.96951293945312
almost,129.719970703125
from,95.98553466796875
the,63.97442626953125
start.,99.04815673828125
My,65.755126953125
whole,118.1568603515625
life,63.0577392578125
seemed,151.89593505859375
to,39.11517333984375
be,48.85919189453125
centered,174.97430419921875
around,140.3759765625
doing,111.05303955078125
what,95.0736083984375
I,18.6719970703125
wanted,143.9283447265625
to,39.115203857421875
"do,",61.76641845703125
without,151.0750732421875
regard,128.75994873046875
for,56.870361328125
the,63.974365234375
"rights,",123.907470703125
"wishes,",141.66748046875
or,41.755126953125
privi-,105.6722412109375
leges,99.436767578125
of,39.11517333984375
anyone,141.23992919921875
else;,88.3487548828125
a,21.31201171875
state,92.3807373046875
of,39.115234375
mind,103.08978271484375
which,118.1571044921875
became,153.6722412109375
more,103.95361328125
and,72.8543701171875
more,103.95361328125
predominant,255.88787841796875
as,39.0672607421875
the,63.97442626953125
years,101.212890625
passed.,143.443359375
I,18.6719970703125
was,71.94241333007812
graduated,198.969482421875
“summa,161.73602294921875
cum,86.1983642578125
laude”,127.03216552734375
in,38.20330810546875
the,63.9744873046875
eyes,85.233642578125
of,39.1153564453125
the,63.9744873046875
drinking,166.09442138671875
"fraternity,",193.1998291015625
but,66.662353515625
not,64.8863525390625
in,38.20318603515625
the,63.9744873046875
eyes,85.23382568359375
of,39.1153564453125
the,63.9744873046875
Dean.,121.27685546875
The,78.61444091796875
next,82.78558349609375
three,103.852783203125
years,100.2528076171875
I,18.6719970703125
spent,106.540771484375
in,37.9632568359375
"Boston,",149.20343017578125
"Chicago,",171.998779296875
and,72.3746337890625
Montreal,183.90234375
in,38.20318603515625
the,63.974365234375
employ,145.70391845703125
of,39.11517333984375
a,21.31201171875
large,97.66094970703125
manufacturing,289.62298583984375
con-,87.0577392578125
172,72.0
ALCOHOLICS,237.963623046875
ANONYMOUS,234.61932373046875
"cern,",99.91677856445312
selling,126.97915649414062
railway,139.4111328125
"supplies,",172.761474609375
gas,62.150390625
engines,150.97955322265625
of,39.1153564453125
all,46.1663818359375
"sorts,",104.376220703125
and,72.85440063476562
many,107.505615234375
other,105.7247314453125
items,107.500732421875
of,39.11517333984375
heavy,112.78082275390625
hardware.,197.62591552734375
During,143.9281005859375
these,104.81280517578125
"years,",113.20797729492188
I,18.6719970703125
drank,113.6927490234375
as,39.06719970703125
much,111.96954345703125
as,39.06719970703125
my,60.42724609375
purse,110.14093017578125
"permitted,",209.237060546875
still,70.15679931640625
without,151.07510375976562
paying,129.67193603515625
too,63.1103515625
great,100.3487548828125
a,21.31201171875
"penalty,",153.23077392578125
although,173.2467041015625
I,18.6719970703125
was,71.94241333007812
beginning,197.19354248046875
to,39.11517333984375
have,91.47357177734375
morning,167.923095703125
jitters,113.68341064453125
at,36.42718505859375
times.,119.496337890625
I,18.6719970703125
lost,69.2977294921875
only,83.505615234375
a,21.31201171875
half,74.62554931640625
day’s,92.390380859375
work,97.71356201171875
during,130.58392333984375
these,104.812744140625
three,104.81292724609375
years.,113.208251953125
My,65.75521850585938
next,83.50558471679688
move,107.505615234375
was,71.9423828125
to,39.11517333984375
take,82.59356689453125
up,51.54718017578125
the,63.97442626953125
study,105.72491455078125
of,39.1153564453125
"medicine,",194.986083984375
entering,166.09439086914062
one,72.8543701171875
of,39.11517333984375
the,63.974365234375
largest,130.5311279296875
universities,224.68341064453125
in,38.20318603515625
the,63.9744873046875
country.,159.470703125
There,119.93280029296875
I,18.6719970703125
took,86.19354248046875
up,51.54718017578125
the,63.974365234375
business,166.09429931640625
of,39.11517333984375
drinking,166.09478759765625
with,86.1937255859375
much,111.9696044921875
greater,141.18716430664062
earnestness,228.2398681640625
than,87.96954345703125
I,18.6719970703125
had,72.8543701171875
previously,201.60528564453125
shown.,138.168212890625
On,62.2032470703125
account,154.57919311523438
of,39.11517333984375
my,60.42718505859375
enormous,197.246337890625
capacity,159.8544921875
for,56.87042236328125
"beer,",98.140869140625
I,18.6719970703125
was,71.9423828125
elected,142.43521118164062
to,38.87518310546875
membership,247.49273681640625
in,37.96319580078125
one,72.3743896484375
of,38.87518310546875
the,63.49444580078125
drinking,164.41461181640625
"societies,",176.789306640625
and,72.85440063476562
soon,91.5216064453125
became,153.6719970703125
one,72.8543701171875
of,39.11517333984375
the,63.974365234375
leading,143.87542724609375
spirits.,131.0068359375
Many,112.833740234375
mornings,185.678466796875
I,18.6719970703125
have,91.47357177734375
gone,95.93756103515625
to,39.11517333984375
"classes,",143.39031982421875
and,72.8544921875
even,93.24969482421875
though,139.5123291015625
fully,87.052978515625
"prepared,",192.29754638671875
would,120.8447265625
turn,84.41754150390625
and,72.8543701171875
walk,89.69757080078125
back,91.47369384765625
to,39.115234375
the,63.9744873046875
fraternity,184.75732421875
house,116.38082885742188
because,158.0831298828125
of,39.11517333984375
my,60.42718505859375
"jitters,",125.67828369140625
not,64.8863525390625
daring,126.12017822265625
to,39.115234375
enter,104.81298828125
the,63.9744873046875
classroom,193.49755859375
for,56.390380859375
fear,76.54559326171875
of,38.87518310546875
making,143.59197998046875
a,21.31201171875
scene,110.04486083984375
should,130.29620361328125
I,18.6719970703125
be,48.6192626953125
called,115.1282958984375
on,49.771209716796875
for,56.87042236328125
recitation.,200.3038330078125
This,84.75360107421875
went,95.40960693359375
from,94.54559326171875
bad,71.8944091796875
to,38.63519287109375
worse,113.548828125
until,89.5968017578125
Sophomore,225.41778564453125
spring,120.1678466796875
"when,",119.50082397460938
after,92.38076782226562
a,21.31201171875
prolonged,201.657470703125
period,128.80792236328125
of,39.11517333984375
"drinking,",178.08990478515625
I,18.6719970703125
made,109.2816162109375
up,51.5472412109375
my,60.427215576171875
mind,103.08956909179688
that,77.31353759765625
I,18.6719970703125
could,109.2767333984375
not,64.8863525390625
complete,183.902587890625
my,60.42718505859375
"course,",141.66748046875
so,41.75537109375
I,18.6719970703125
packed,137.92803955078125
my,59.947235107421875
grip,77.60162353515625
and,71.8944091796875
went,95.40960693359375
South,114.5087890625
to,38.63519287109375
spend,116.23675537109375
a,21.31201171875
month,127.8529052734375
on,49.2913818359375
a,21.31201171875
large,97.6607666015625
farm,93.29757690429688
owned,131.500732421875
by,47.08319091796875
a,21.31201171875
friend,119.92791748046875
of,39.11517333984375
mine.,112.39697265625
When,119.93780517578125
I,18.6719970703125
got,62.1983642578125
the,63.9744873046875
fog,62.19842529296875
out,64.88641357421875
of,39.11517333984375
my,60.42724609375
"brain,",115.03192138671875
I,18.6719970703125
decided,157.2191162109375
that,77.31353759765625
quitting,155.48663330078125
school,125.2562255859375
was,71.942626953125
very,83.45758056640625
foolish,131.49114990234375
and,72.8543701171875
that,77.31353759765625
I,18.6719970703125
had,72.8543701171875
better,119.92791748046875
return,125.25628662109375
and,72.8543701171875
continue,173.2467041015625
my,60.427215576171875
work.,109.70880126953125
When,119.93756103515625
I,18.6719970703125
reached,158.0831298828125
"school,",137.251220703125
I,18.6719970703125
discovered,212.26116943359375
the,63.9744873046875
faculty,132.35519409179688
had,72.8543701171875
other,105.7247314453125
ideas,100.3487548828125
on,49.77117919921875
the,63.974365234375
subject.,153.23077392578125
After,102.173095703125
much,111.9698486328125
argument,191.00634765625
they,85.28155517578125
allowed,151.89111328125
me,62.20318603515625
to,39.11517333984375
return,125.25616455078125
and,72.8546142578125
take,82.5936279296875
my,60.42724609375
"exams,",132.79196166992188
all,46.1663818359375
of,39.11517333984375
which,118.15673828125
I,18.6719970703125
passed,131.44793701171875
creditably.,204.72021484375
But,72.90252685546875
they,85.28173828125
were,96.8018798828125
much,111.9696044921875
disgusted,186.53750610351562
and,72.8543701171875
told,77.31353759765625
me,62.20318603515625
they,85.28155517578125
would,120.84503173828125
attempt,154.6275634765625
to,39.115234375
struggle,158.078369140625
along,106.5887451171875
without,151.0750732421875
my,60.42718505859375
presence.,189.60968017578125
After,102.17291259765625
many,107.505615234375
pain,85.2816162109375
-,15.9840087890625
ful,53.31842041015625
"discussions,",230.4910888671875
they,85.28155517578125
ﬁnally,119.01593017578125
gave,88.78558349609375
me,62.2032470703125
my,60.42724609375
credits,133.219482421875
and,72.8543701171875
I,18.6719970703125
